full_name,eai_url,link,pdf_link,publication_date,data_source,publication,title,eai_match,affiliation,type,citations
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.1145/3394486.3403366,,2020-08-01 00:00:00,ACM,KDD '20: Proceedings of the 26th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,Climate Downscaling Using YNet: A Deep Convolutional Network with Skip Connections and Fusion,False,,,0
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.5555/3020948.3020961,,2016-06-01 00:00:00,ACM,UAI'16: Proceedings of the Thirty-Second Conference on Uncertainty in Artificial Intelligence,A generative block-diagonal model for clustering,False,,,0
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.1145/3292500.3330692,,2019-07-01 00:00:00,ACM,KDD '19: Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,Nonparametric Mixture of Sparse Regressions on Spatio-Temporal Data -- An Application to Climate Prediction,False,,,0
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.1145/3453892.3454006,,2021-06-01 00:00:00,ACM,PETRA '21: Proceedings of the 14th PErvasive Technologies Related to Assistive Environments Conference,Structurally Guided Channel Attention Networks: SGCA-Net,False,,,0
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.1145/3453892.3454002,,2021-06-01 00:00:00,ACM,PETRA '21: Proceedings of the 14th PErvasive Technologies Related to Assistive Environments Conference,Automated ROP Diagnostic System based on Comparisons and U-Net Segmentation,False,,,0
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.1145/1081870.1081977,,2005-08-01 00:00:00,ACM,KDD '05: Proceedings of the eleventh ACM SIGKDD international conference on Knowledge discovery in data mining,A multinomial clustering model for fast simulation of computer architecture designs,False,,,0
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.1145/3219819.3219996,,2018-07-01 00:00:00,ACM,KDD '18: Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,Quantifying Uncertainty in Discrete-Continuous and Skewed Data with Bayesian Deep Learning,False,,,0
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.1016/j.patcog.2008.05.019,,2008-12-01 00:00:00,ACM,Pattern Recognition (PATT),Impact of imputation of missing values on classification error for discrete data,False,,,0
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.5555/3023549.3023629,,2010-07-01 00:00:00,ACM,UAI'10: Proceedings of the Twenty-Sixth Conference on Uncertainty in Artificial Intelligence,Modeling multiple annotator expertise in the semi-supervised learning scenario,False,,,0
Jennifer G. Dy,https://ai.northeastern.edu/ai-our-people/jennifer-dy/,https://dl.acm.org/doi/10.1007/s10115-022-01782-6,,2022-12-01 00:00:00,ACM,Knowledge and Information Systems (KAIS),Graph transfer learning,False,,,0
