,query1,query2,query3,full_name_query,query4,query5,query6,query7
0,[],"[('AN', 'GEOMETRIC', 'HECKE', 'ALGEBRAS'), ('AN', 'Y', ' '), ('AL', 'DAVID', 'TREUMANN', 'ABSTRACT.'), ('AL', 'E', ' '), ('AS', 'DAVID', 'TREUMANN', 'ABSTRACT.'), ('AS', 'B', 'R'), ('AV', 'TREUMANN', 'ABSTRACT.', 'In'), ('AV', '\n', 'D'), ('AN', 'ABSTRACT.', 'In', '1960'), ('AN', 'U', 'M'), ('AB', 'In', '1960', 'Borel'), ('AB', '\n', '\n'), ('AC', 'In', '1960', 'Borel'), ('AC', 'T', 'R')]","[('Smith', 'proved', 'a', 'similar'), ('Smith', '.', ' '), ('Smith', 'operator', '2.3.', 'The'), ('Smith', 'e', ' '), ('Smith', 'operator', 'for', 'G-spaces'), ('Smith', 'e', ' '), ('Smith', 'and', 'the', 'natural'), ('Smith', '.', ' '), ('Smith', 'theory', 'for', 'the'), ('Smith', '.', ' '), ('Smith', 'theory', '3.2.', 'Proof'), ('Smith', 'a', ' '), ('Smith', 'theory', 'for', 'sheaves'), ('Smith', '.', ' '), ('Smith', 'operation', '4.3.', 'Six'), ('Smith', 'e', ' '), ('Smith', 'with', 'six', 'operations'), ('Smith', 'f', ' '), ('Smith', 'theory', 'for', 'equivariant'), ('Smith', '.', ' ')]",[],[],[],[],[]
1,[],"[('AV', 'CALLAN', 'Department', 'of'), ('AV', '\n', 'D'), ('AL', 'Department', 'of', 'Statistics'), ('AL', ' ', 'C'), ('AN', 'Department', 'of', 'Statistics'), ('AN', 'L', 'L'), ('Ag', '=', 'Deo', '='), ('Ag', '=', ' ')]","[('Smith', 'forms', 'of', 'Pascal-related'), ('Smith', 'd', ' ')]",[],[],"[('.edu', 'November', '21,', '2018'), ('.edu', 's', 'c')]",[],[]
2,[],"[('AL', 'DAVID', 'SMITH', 'ABSTRACT.'), ('AL', 'D', ' '), ('AS', 'DAVID', 'SMITH', 'ABSTRACT.'), ('AS', 'B', 'R'), ('AV', 'SMITH', 'ABSTRACT.', 'In'), ('AV', '\n', 'D'), ('AB', 'In', 'this', 'paper,'), ('AB', '\n', '\n'), ('AC', 'In', 'this', 'paper,'), ('AC', 'T', 'R'), ('A ', 'lift', 'to', 'tilting'), ('A ', 'a', ' '), ('As', 'a', 'first', 'application,'), ('As', '.', '\n'), ('A-', 'modules', 'arising', 'from'), ('A-', 'g', ' '), ('As', 'asecond', 'application,', 'we'), ('As', '.', ' '), ('A-', 'having', 'cluster-tilted', 'endomorphism'), ('A-', 'g', ' '), ('A,', 'case)', 'as', 'a'), ('A,', 'e', ' ')]",[],[],[],[],[],[]
3,"[('David', 'Popovi¢é', 'Part', 'III'), ('David', '\n', '\n')]","[('AT', '22', 'Aug', '2021'), ('AT', 'h', '.'), ('Au', '2021', 'wD', 'UNIVERSITY'), ('Au', '2', ' '), ('AM', 'NILPOTENCE', '‘THEOREM', 'IN'), ('AM', '\n', 'C'), ('AB', 'HOMOTOPY', '‘THEORY', 'David'), ('AB', 'S', 'T')]",[],[],[],[],[],[]
4,[],"[('AN', 'TRIANGULATIONS', 'OF', 'THE'), ('AN', 'S', ' '), ('AN', 'OF', 'THE', 'STRIP'), ('AN', 'R', 'I'), ('AT', 'OF', 'THE', 'STRIP'), ('AT', 'U', 'L'), ('AB', 'The', 'infinite', 'friezes'), ('AB', '\n', '\n'), ('AC', 'The', 'infinite', 'friezes'), ('AC', 'T', 'R'), ('As', 'a', 'consequence,', 'we'), ('As', '.', ' '), ('As', 'Reutenauer', 'and', 'Smith'), ('As', 'y', ' ')]","[('Smith', 'in', '[I]:', 't(z,'), ('Smith', 'd', ' ')]",[],[],[],[],"[('ece', 'Tschabold', 'introduced', 'in'), ('ece', ' ', 'r')]"
5,"[('David', 'Smith', 'ABSTRACT.', 'In'), ('David', '\n', '\n')]","[('A]', '20', 'Sep', '2007:'), ('A]', '.', 'R'), ('Al', 'laura', 'algebras', 'David'), ('Al', '\n', '\n'), ('AB', 'In', 'this', 'paper,'), ('AB', '\n', '\n'), ('AC', 'In', 'this', 'paper,'), ('AC', 'T', 'R'), ('Au', 'quivers.', 'Also,', 'we'), ('Au', 'r', ' '), ('Al', 'we', 'study', 'more'), ('Al', '.', ' '), ('A,', 'respectively', 'denoted', 'La'), ('A,', 'a', ' '), ('A ', 'is', 'quasitilted', 'if'), ('A ', 'a', ' '), ('A-', 'lies', 'in', '£4'), ('A-', 'e', ' '), ('Am', 'them,', 'laura', 'algebras'), ('Am', '.', ' '), ('As', 'and', 'Coelho', '[3]'), ('As', 'y', ' '), ('Al', '(7),', '(25)', '(20),'), ('Al', ' ', '('), ('A ', 'and', 'generalizing', 'laura'), ('A ', 'd', ' '), ('Au', 'quiver', 'of', 'an'), ('Au', 'e', ' '), ('A ', 'is', 'left', '(or'), ('A ', 'f', ' '), ('A ', 'is', 'almost', 'laura'), ('A ', 'n', ' '), ('Au', 'quiver', 'has', 'a'), ('Au', 's', ' ')]","[('Smith', 'ABSTRACT.', 'In', 'this'), ('Smith', 'd', ' ')]",[],[],[],[],[]
6,"[('David', 'Aulicino*', 'Abstract', 'We'), ('David', '\n', '\n')]","[('Au', 'Abstract', 'We', 'provide'), ('Au', 'd', ' '), ('Ab', 'We', 'provide', 'a'), ('Ab', '\n', '\n'), ('Ab', 'differentials', 'on', 'Riemann'), ('Ab', 'n', ' '), ('Ap', 'of', 'Surgery', 'to'), ('Ap', '3', ' '), ('Ar', 'Avila,', 'and', 'later'), ('Ar', 'f', '\n'), ('Av', 'and', 'later', 'by'), ('Av', 'r', ' '), ('Aw', 'No.', 'DMS', '-'), ('Aw', 'r', ' ')]","[('Smith', 'Stability', 'Conditions', 'David'), ('Smith', 'd', '-'), ('Smith', 'and', 'Gaiotto,', 'Moore,'), ('Smith', 'd', '\n')]",[],[],[],[],[]
7,"[('David', 'Handelman!', 'Outline', 'Attempts'), ('David', '\n', '\n')]","[('AC', '12', 'Mar', '2017:'), ('AC', 'h', '.'), ('Ab', 'Motivated', 'by', 'classification,'), ('Ab', '\n', '\n'), ('At', 'at', 'classification', 'of'), ('At', '\n', '\n'), ('AM', '(MOS)', '2010', 'classification:'), ('AM', 't', '\n'), ('A2', '46L80', '52A07', '46A55'), ('A2', '1', '5'), ('A0', '46A55', '52B20', '°This'), ('A0', '5', '2'), ('A5', '52B20', '°This', 'replaces'), ('A5', '4', '6'), ('Ar', 'under', 'the', 'title'), ('Ar', 'n', ' ')]","[('Smith', 'on', 'integer', 'matrices.'), ('Smith', 'd', ' '), ('Smith', 'normal', 'form', '(SNF)'), ('Smith', 'e', ' '), ('Smith', 'normal', 'form,', 'per-'), ('Smith', ',', ' ')]",[],[],"[('redu', 'For', 'an', 'important'), ('redu', 'w', ' ')]",[],[]
8,"[('David', 'Lewis', 'Department', 'of'), ('David', '\n', '\n')]","[('Ab', 'We', 'prove', 'upper'), ('Ab', '\n', '\n'), ('A ', 'partial', 'linear', 'extension'), ('A ', '.', ' '), ('A ', 'linear', 'extension', 'of'), ('A ', '.', ' '), ('A ', 'set', '£', 'of'), ('A ', '.', ' '), ('A ', 'realiser', 'of', 'P'), ('A ', '.', ' ')]","[('Smith', 'Uzzell,', 'and', 'Wang,'), ('Smith', ',', ' ')]",[],[],[],[],[]
9,[],"[('AL', 'BRANES', 'ARE', 'CONSTRUCTIBLE'), ('AL', 'O', 'C'), ('AN', 'ARE', 'CONSTRUCTIBLE', 'SHEAVES'), ('AN', 'B', 'R'), ('AR', 'CONSTRUCTIBLE', 'SHEAVES', 'DAVID'), ('AR', 'S', ' '), ('AV', 'DAVID', 'NADLER', 'Dedicated'), ('AV', 'H', 'E'), ('AV', 'NADLER', 'Dedicated', 'to'), ('AV', '\n', 'D'), ('AD', 'Dedicated', 'to', 'Paul'), ('AD', ' ', 'N'), ('AB', 'Let', 'X', 'be'), ('AB', '\n', '\n'), ('AC', 'Let', 'X', 'be'), ('AC', 'T', 'R'), ('As', 'a', 'concrete', 'application,'), ('As', '\n', '\n'), ('An', 'independent', 'characterization', 'of'), ('An', '.', ' '), ('Ap', 'Acknowledgements', 'Constructible', 'sheaves'), ('Ap', 's', '\n'), ('Ac', 'Constructible', 'sheaves', 'Derived'), ('Ac', 's', '\n'), ('Ap', 'invariance', 'of', 'calculations'), ('Ap', '\n', '\n'), ('Al', 'complex', 'structures', 'Taming'), ('Al', '\n', '\n'), ('AS', 'SISINISISIEIS|', '42', '43'), ('AS', 'S', 'E')]","[('Smith', '[9].', 'CONTENTS', 'Introduction'), ('Smith', 'l', '-')]",[],[],[],[],"[('ece', 'paper', 'with', 'E.'), ('ece', ' ', 'r'), ('ece', 'been', 'obtained', 'by'), ('ece', ' ', 'r')]"
